HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
3.948626e-01,4.097002e-02,4.097002e-02,1.533909e-01,5.211338e-02,3.259095e-02,3.349255e-09,1.014522e-01,4.330266e-02
4.815496e-01,5.642078e-02,5.642078e-02,1.533909e-01,5.211469e-02,3.510339e-02,4.608923e-03,1.198967e-01,6.189570e-02
4.700667e-01,4.220953e-02,8.544231e-02,2.340074e-01,5.214412e-02,3.636884e-02,2.802379e-01,1.398225e-01,8.195826e-02
4.235709e-01,3.541929e-03,3.541929e-03,2.014881e-01,5.264044e-02,3.679223e-02,2.546543e-01,2.049352e-01,1.471893e-01
4.690041e-01,0.000000e+00,0.000000e+00,1.555410e-01,1.206635e-01,3.692874e-02,2.393767e-01,3.056333e-01,2.479590e-01
4.519772e-01,3.227599e-07,3.227599e-07,1.909295e-01,1.021242e-01,3.699498e-02,2.321499e-01,3.704543e-01,3.128086e-01
4.345186e-01,6.339949e-06,6.339949e-06,9.622238e-02,1.255075e-01,3.608727e-02,2.254783e-01,1.683528e-01,1.107304e-01
4.243114e-01,1.945762e-04,1.945762e-04,9.797170e-02,1.868347e-01,2.070805e-02,2.172759e-01,1.426088e-01,8.500297e-02
4.124803e-01,1.096294e-03,1.096294e-03,1.237955e-01,         NaN,1.920226e-02,2.057053e-01,1.337660e-01,7.616917e-02
3.599624e-01,4.340538e-03,1.909150e-02,1.140457e-01,         NaN,1.928853e-02,1.882083e-01,1.757790e-01,1.181604e-01
4.768462e-01,3.108608e-02,7.168357e-02,1.772360e-01,         NaN,2.057843e-02,1.594383e-01,2.418763e-01,1.841748e-01
5.581384e-01,2.133310e-02,2.133310e-02,1.809415e-01,         NaN,3.782168e-02,1.049902e-01,2.061122e-01,1.483075e-01
5.596905e-01,1.536619e-01,1.727561e-01,1.954571e-01,         NaN,3.805125e-02,6.216659e-02,2.612634e-01,2.033413e-01
5.475848e-01,2.113594e-01,2.113594e-01,2.400638e-01,         NaN,3.837643e-02,3.627502e-02,2.619719e-01,2.039245e-01
5.270915e-01,2.068869e-01,2.068869e-01,3.326864e-01,         NaN,3.893596e-02,2.459718e-02,2.022730e-01,1.440987e-01
5.032252e-01,1.824002e-01,1.824002e-01,4.552325e-01,         NaN,3.970890e-02,2.506640e-02,1.518493e-01,9.355136e-02
