x,y,BG,FC,FD,FH,GC,GD,GHc,SC,SD,SH,TC,GR,NC,GCp,GCa,GDp,GDa,FHs,FHf,TCa,FCs,GCv,GCb,StrD,TotalC
1.000000e+00,1.000000e+00,9.932686e-01,4.818407e-01,4.000000e+01,1.000000e+00,0.000000e+00,4.000000e+01,1.000000e-01,0.000000e+00,1.717124e+00,1.500000e+01,1.868103e-02,6.101257e+00,1.300000e+03,8.904929e-01,2.840191e-01,1.000000e+01,1.781981e+00,0.000000e+00,0.000000e+00,4.903458e-01,0.000000e+00,2.500000e+01,1.000000e+00,2.000000e+00,0.000000e+00
1.000000e+00,1.000000e+01,1.120665e-01,3.781315e-01,3.138170e+01,1.000000e+00,0.000000e+00,4.000000e+01,2.064481e-01,1.000000e+00,7.290862e+00,7.214756e+00,4.653761e-01,2.795610e+01,1.300000e+03,2.640775e-01,1.000000e+00,1.000000e+00,4.768597e+00,3.689422e+00,3.000000e+01,5.265749e-01,0.000000e+00,1.410148e+01,6.732307e-01,4.000000e+00,2.219212e+00
1.000000e+00,1.000000e+02,0.000000e+00,2.426044e-01,2.095312e+00,1.000000e+00,4.881039e-02,6.816357e+00,1.000000e-01,8.678719e-02,1.444221e+01,4.560645e+00,0.000000e+00,0.000000e+00,1.300000e+03,0.000000e+00,1.853644e-02,4.290432e+00,7.200642e+00,6.951462e+00,3.000000e+01,2.089976e-01,4.424443e-01,9.918019e+00,4.526290e-02,1.000000e+00,5.381825e-01
1.000000e+00,1.100000e+01,8.961550e-02,3.360569e-01,2.383664e+01,1.000000e+00,0.000000e+00,4.000000e+01,2.535378e-01,1.000000e+00,7.777305e+00,4.793744e+00,4.598823e-01,3.185436e+01,1.300000e+03,2.698621e-01,1.000000e+00,1.000000e+00,5.170145e+00,3.865026e+00,3.000000e+01,4.781463e-01,0.000000e+00,1.312256e+01,4.621882e-01,3.000000e+00,2.127968e+00
1.000000e+00,1.200000e+01,7.393167e-02,2.985655e-01,1.648506e+01,1.000000e+00,0.000000e+00,4.000000e+01,3.215232e-01,1.000000e+00,8.261337e+00,3.320166e+00,4.422297e-01,3.693286e+01,1.300000e+03,2.844605e-01,1.000000e+00,1.000000e+00,5.522746e+00,3.969646e+00,3.000000e+01,4.355538e-01,0.000000e+00,1.292347e+01,3.294232e-01,3.000000e+00,2.101816e+00
1.000000e+00,1.300000e+01,6.233326e-02,2.684793e-01,1.016184e+01,1.000000e+00,0.000000e+00,4.000000e+01,4.179501e-01,1.000000e+00,8.717872e+00,2.489999e+00,4.144871e-01,4.316940e+01,1.300000e+03,3.063225e-01,1.000000e+00,1.000000e+00,5.770158e+00,4.023167e+00,3.000000e+01,4.050619e-01,0.000000e+00,1.345368e+01,2.626559e-01,3.000000e+00,2.138250e+00
1.000000e+00,1.400000e+01,5.247948e-02,2.480302e-01,4.907343e+00,1.000000e+00,0.000000e+00,4.000000e+01,5.476420e-01,7.954629e-01,9.116680e+00,2.277369e+00,3.790978e-01,5.000000e+01,1.300000e+03,3.313027e-01,1.000000e+00,1.000000e+00,5.863137e+00,4.044495e+00,3.000000e+01,3.906970e-01,0.000000e+00,1.397198e+01,2.479472e-01,3.000000e+00,1.941771e+00
1.000000e+00,1.500000e+01,4.217804e-02,2.386456e-01,1.000000e+00,1.000000e+00,0.000000e+00,4.000000e+01,7.120939e-01,8.396714e-01,9.435070e+00,2.864470e+00,3.387182e-01,5.000000e+01,1.300000e+03,3.571184e-01,1.000000e+00,2.278416e+00,5.767152e+00,4.051881e+00,3.000000e+01,3.941033e-01,0.000000e+00,1.376781e+01,2.694010e-01,3.000000e+00,1.982141e+00
1.000000e+00,1.600000e+01,2.783935e-02,2.407334e-01,1.000000e+00,5.458604e+00,0.000000e+00,4.000000e+01,9.088670e-01,8.782500e-01,9.663198e+00,3.738768e+00,2.960568e-01,5.000000e+01,1.300000e+03,3.832361e-01,1.000000e+00,5.018598e+00,5.470090e+00,4.063250e+00,3.000000e+01,4.160388e-01,0.000000e+00,1.252675e+01,3.116548e-01,3.000000e+00,1.938670e+00
1.000000e+00,1.700000e+01,1.391732e-02,2.534670e-01,1.000000e+00,2.376427e+01,0.000000e+00,4.000000e+01,1.130983e+00,9.111987e-01,9.836622e+00,4.814122e+00,2.537137e-01,5.000000e+01,1.202316e+03,4.108114e-01,1.000000e+00,7.369572e+00,4.989965e+00,4.096529e+00,3.000000e+01,4.401047e-01,0.000000e+00,1.035849e+01,3.660797e-01,3.000000e+00,1.804828e+00
1.000000e+00,1.800000e+01,0.000000e+00,2.745713e-01,1.000000e+00,3.561995e+01,0.000000e+00,4.000000e+01,1.360591e+00,9.385175e-01,1.000584e+01,5.921161e+00,2.140188e-01,5.000000e+01,8.206880e+02,4.426300e-01,1.000000e+00,8.546787e+00,4.359025e+00,4.169978e+00,3.000000e+01,4.364423e-01,0.000000e+00,7.661167e+00,4.246881e-01,3.000000e+00,1.590463e+00
1.000000e+00,1.900000e+01,0.000000e+00,3.003266e-01,1.000000e+00,4.228733e+01,0.000000e+00,3.328462e+01,1.559251e+00,9.709597e-01,1.017940e+01,7.128779e+00,1.788713e-01,5.000000e+01,4.347636e+02,4.830476e-01,1.000000e+00,9.205023e+00,3.705090e+00,4.302514e+00,3.000000e+01,4.526128e-01,0.000000e+00,4.985624e+00,4.808139e-01,3.000000e+00,1.330124e+00
1.000000e+00,2.000000e+00,8.105548e-01,5.164993e-01,4.000000e+01,1.000000e+00,0.000000e+00,4.000000e+01,1.000000e-01,0.000000e+00,2.451973e+00,1.500000e+01,7.436887e-02,8.528511e+00,1.300000e+03,6.910398e-01,9.745470e-01,1.000000e+01,2.749948e+00,0.000000e+00,0.000000e+00,5.263720e-01,0.000000e+00,2.500000e+01,1.000000e+00,2.000000e+00,0.000000e+00
1.000000e+00,2.000000e+01,0.000000e+00,3.217126e-01,1.000000e+00,4.507812e+01,1.682078e-01,2.623382e+01,1.692469e+00,9.885610e-01,1.036131e+01,8.420823e+00,1.495789e-01,5.000000e+01,5.905287e+01,5.379307e-01,1.000000e+00,9.685276e+00,3.087678e+00,4.514043e+00,3.000000e+01,5.127400e-01,0.000000e+00,2.899735e+00,5.290320e-01,4.000000e+00,1.088704e+00
1.000000e+00,2.100000e+01,0.000000e+00,3.380520e-01,1.000000e+00,4.536113e+01,2.526700e-01,2.002435e+01,1.762060e+00,9.876483e-01,1.055159e+01,9.731930e+00,1.266961e-01,5.000000e+01,0.000000e+00,6.097611e-01,1.000000e+00,9.992923e+00,2.583258e+00,4.825783e+00,3.000000e+01,6.013936e-01,5.170906e-01,1.852700e+00,5.650773e-01,4.000000e+00,9.376322e-01
1.000000e+00,2.200000e+01,0.000000e+00,3.497683e-01,1.203012e+00,4.456946e+01,1.574464e-01,1.478004e+01,1.795755e+00,9.709909e-01,1.074678e+01,1.096790e+01,1.115807e-01,5.000000e+01,0.000000e+00,5.381819e-01,1.000000e+00,1.000000e+01,2.261703e+00,5.265372e+00,3.000000e+01,6.537897e-01,1.000000e+00,2.039344e+00,5.857641e-01,4.000000e+00,9.490056e-01
1.000000e+00,2.300000e+01,0.000000e+00,3.573480e-01,4.642082e+00,4.420764e+01,5.050509e-02,1.057792e+01,1.836109e+00,9.420128e-01,1.094048e+01,1.202605e+01,1.093306e-01,5.000000e+01,0.000000e+00,2.951280e-01,1.000000e+00,1.000000e+01,2.166524e+00,5.701506e+00,3.000000e+01,6.707650e-01,1.000000e+00,3.264422e+00,5.889052e-01,3.000000e+00,1.107168e+00
1.000000e+00,2.400000e+01,0.000000e+00,3.613109e-01,8.501426e+00,4.585818e+01,0.000000e+00,7.441267e+00,1.929415e+00,9.044879e-01,1.112388e+01,1.281563e+01,1.135100e-01,5.000000e+01,0.000000e+00,0.000000e+00,1.000000e+00,9.989295e+00,2.295106e+00,5.736341e+00,3.000000e+01,6.500914e-01,1.000000e+00,5.184130e+00,5.732316e-01,3.000000e+00,1.317506e+00
1.000000e+00,2.500000e+01,0.000000e+00,3.621778e-01,1.250559e+01,5.068146e+01,0.000000e+00,5.332568e+00,2.114612e+00,8.622346e-01,1.128626e+01,1.361095e+01,1.209637e-01,5.000000e+01,0.000000e+00,0.000000e+00,1.000000e+00,9.729767e+00,2.586731e+00,5.163745e+00,3.000000e+01,5.826639e-01,1.000000e+00,7.838863e+00,5.383113e-01,3.000000e+00,1.551675e+00
1.000000e+00,2.600000e+01,0.000000e+00,3.604384e-01,1.634476e+01,5.801842e+01,0.000000e+00,4.146555e+00,2.288471e+00,8.188114e-01,1.141553e+01,1.266963e+01,1.295615e-01,5.000000e+01,0.000000e+00,0.000000e+00,1.000000e+00,9.371317e+00,2.915121e+00,3.957649e+00,3.000000e+01,4.666525e-01,1.000000e+00,1.026283e+01,4.844688e-01,3.000000e+00,1.712698e+00
1.000000e+00,2.700000e+01,0.000000e+00,3.565195e-01,1.978144e+01,6.690188e+01,0.000000e+00,3.703201e+00,2.390557e+00,7.772114e-01,1.149876e+01,1.157934e+01,1.353527e-01,4.670545e+01,0.000000e+00,0.000000e+00,1.000000e+00,8.933795e+00,3.173234e+00,2.234544e+00,3.000000e+01,3.220610e-01,1.000000e+00,1.149763e+01,4.127044e-01,3.000000e+00,1.756592e+00
1.000000e+00,2.800000e+01,0.000000e+00,3.507524e-01,2.264854e+01,7.649763e+01,0.000000e+00,4.033825e+00,2.425175e+00,7.365545e-01,1.152269e+01,1.055471e+01,1.376040e-01,3.464561e+01,0.000000e+00,0.000000e+00,1.000000e+00,8.437341e+00,3.312935e+00,2.159676e-01,3.000000e+01,1.961902e-01,1.000000e+00,1.009669e+01,3.246135e-01,3.000000e+00,1.599569e+00
1.000000e+00,2.900000e+01,3.078814e-02,3.433415e-01,2.484245e+01,8.609733e+01,0.000000e+00,4.286313e+00,2.371968e+00,6.988825e-01,1.147430e+01,9.669508e+00,1.408679e-01,2.391432e+01,0.000000e+00,0.000000e+00,0.000000e+00,7.901776e+00,3.332187e+00,0.000000e+00,3.000000e+01,1.231151e-01,9.875356e-01,5.615669e+00,2.223057e-01,3.000000e+00,1.166199e+00
1.000000e+00,3.000000e+00,6.535212e-01,5.392720e-01,4.000000e+01,1.000000e+00,0.000000e+00,4.000000e+01,1.000000e-01,1.000000e+00,3.181315e+00,1.500000e+01,1.425806e-01,1.094868e+01,1.300000e+03,5.402597e-01,1.000000e+00,9.832196e+00,3.221463e+00,0.000000e+00,0.000000e+00,5.603335e-01,7.590003e-02,2.500000e+01,1.000000e+00,4.000000e+00,2.943920e+00
1.000000e+00,3.000000e+01,5.929873e-02,3.343316e-01,2.631610e+01,9.511165e+01,0.000000e+00,4.624738e+00,2.220179e+00,6.648960e-01,1.134127e+01,8.910582e+00,1.453587e-01,1.501436e+01,0.000000e+00,3.173997e-02,0.000000e+00,7.345997e+00,3.261408e+00,0.000000e+00,3.000000e+01,1.102688e-01,6.469735e-01,1.597592e+00,1.083243e-01,3.000000e+00,6.148866e-01
1.000000e+00,3.100000e+01,8.634639e-02,3.336579e-01,2.707214e+01,1.030635e+02,0.000000e+00,5.111735e+00,1.967529e+00,6.391744e-01,1.111254e+01,8.219550e+00,1.523001e-01,8.322836e+00,0.000000e+00,1.501023e-01,1.000000e+00,6.787371e+00,3.149832e+00,0.000000e+00,3.000000e+01,1.447773e-01,4.145776e-01,0.000000e+00,0.000000e+00,3.000000e+00,0.000000e+00
1.000000e+00,3.200000e+01,1.118972e-01,4.048814e-01,2.715594e+01,1.095811e+02,0.000000e+00,5.675490e+00,1.619084e+00,6.184931e-01,1.077884e+01,7.534536e+00,1.510787e-01,4.069290e+00,6.410710e+01,2.707435e-01,1.000000e+00,6.241128e+00,3.051865e+00,0.000000e+00,3.000000e+01,2.030031e-01,3.233308e-01,0.000000e+00,0.000000e+00,4.000000e+00,0.000000e+00
1.000000e+00,3.300000e+01,1.354318e-01,4.304269e-01,2.664873e+01,1.143912e+02,0.000000e+00,6.171814e+00,1.186136e+00,6.002266e-01,1.033322e+01,6.831902e+00,1.354499e-01,2.313789e+00,1.811988e+02,3.942710e-01,1.000000e+00,5.719751e+00,3.013446e+00,0.000000e+00,3.000000e+01,2.600877e-01,3.686939e-01,0.000000e+00,0.000000e+00,4.000000e+00,0.000000e+00
1.000000e+00,3.400000e+01,1.563938e-01,3.872480e-01,2.566071e+01,1.173124e+02,0.000000e+00,6.446229e+00,6.850779e-01,5.823009e-01,9.771537e+00,6.181004e+00,1.130733e-01,3.207906e+00,2.391967e+02,4.958701e-01,1.000000e+00,5.232376e+00,3.058405e+00,0.000000e+00,3.000000e+01,2.994957e-01,4.969241e-01,0.000000e+00,0.000000e+00,4.000000e+00,0.000000e+00
1.000000e+00,3.500000e+01,1.742015e-01,2.607347e-01,2.432410e+01,1.182481e+02,0.000000e+00,6.396042e+00,1.362731e-01,5.631448e-01,9.093032e+00,5.575831e+00,9.379389e-02,0.000000e+00,2.258922e+02,4.952858e-01,1.000000e+00,4.784180e+00,3.174821e+00,1.154577e+00,3.000000e+01,3.222291e-01,6.093343e-01,0.000000e+00,0.000000e+00,3.000000e+00,0.000000e+00
1.000000e+00,3.600000e+01,1.882592e-01,4.392870e-02,2.278627e+01,1.171796e+02,0.000000e+00,6.032429e+00,1.000000e-01,5.416424e-01,8.300819e+00,4.971160e+00,8.446245e-02,0.000000e+00,3.047019e+02,4.551276e-01,1.000000e+00,4.375776e+00,3.301538e+00,4.355045e+00,3.000000e+01,3.285997e-01,6.635115e-01,1.411874e+00,0.000000e+00,2.000000e+00,5.048863e-01
1.000000e+00,3.700000e+01,1.979687e-01,0.000000e+00,2.120282e+01,1.141598e+02,0.000000e+00,5.521962e+00,1.000000e-01,5.170842e-01,7.402424e+00,4.366389e+00,7.863766e-02,0.000000e+00,8.757976e+02,5.100918e-01,9.634566e-01,4.002607e+00,3.411785e+00,5.578481e+00,3.000000e+01,3.488584e-01,6.764818e-01,3.678251e+00,0.000000e+00,2.000000e+00,7.962340e-01
1.000000e+00,3.800000e+01,2.027404e-01,0.000000e+00,1.973068e+01,1.093057e+02,0.000000e+00,5.014536e+00,1.000000e-01,4.891197e-01,6.442142e+00,3.761729e+00,7.059271e-02,0.000000e+00,1.300000e+03,6.182707e-01,8.951591e-01,3.654340e+00,3.663996e+00,4.884141e+00,3.000000e+01,3.706632e-01,6.639086e-01,5.702324e+00,0.000000e+00,2.000000e+00,9.642128e-01
1.000000e+00,3.900000e+01,2.020052e-01,0.000000e+00,1.852119e+01,1.027920e+02,0.000000e+00,4.585447e+00,1.000000e-01,4.577087e-01,5.448389e+00,3.160475e+00,6.245237e-02,0.000000e+00,1.300000e+03,7.239626e-01,8.364974e-01,3.314255e+00,4.179415e+00,2.768270e+00,3.000000e+01,3.864518e-01,6.236425e-01,7.209508e+00,0.000000e+00,2.000000e+00,1.048786e+00
1.000000e+00,4.000000e+00,5.202938e-01,5.485851e-01,4.000000e+01,1.000000e+00,0.000000e+00,4.000000e+01,1.000000e-01,1.000000e+00,3.890166e+00,1.500000e+01,2.148773e-01,1.336176e+01,1.300000e+03,4.316740e-01,9.423102e-01,4.426938e+00,3.421165e+00,2.315197e-01,3.000000e+01,5.909172e-01,0.000000e+00,2.500000e+01,1.000000e+00,4.000000e+00,2.943920e+00
1.000000e+00,4.000000e+01,1.952253e-01,0.000000e+00,1.771320e+01,9.484399e+01,0.000000e+00,4.318994e+00,1.000000e-01,4.230732e-01,4.436779e+00,2.568875e+00,5.566043e-02,0.000000e+00,1.300000e+03,8.070171e-01,7.882580e-01,2.965014e+00,5.008370e+00,0.000000e+00,3.000000e+01,3.892638e-01,5.387631e-01,8.123712e+00,0.000000e+00,2.000000e+00,1.070347e+00
1.000000e+00,4.100000e+01,1.819064e-01,0.000000e+00,1.742619e+01,8.573110e+01,1.511694e-02,4.289784e+00,1.000000e-01,3.856498e-01,3.423981e+00,1.996013e+00,5.107861e-02,0.000000e+00,1.300000e+03,8.560736e-01,7.510686e-01,2.618207e+00,6.141727e+00,0.000000e+00,3.000000e+01,3.760189e-01,4.307523e-01,8.642681e+00,0.000000e+00,2.000000e+00,1.054969e+00
1.000000e+00,4.200000e+01,1.616083e-01,0.000000e+00,1.775239e+01,7.575972e+01,1.094055e-01,4.529912e+00,1.000000e-01,3.460409e-01,2.424800e+00,1.453675e+00,4.908540e-02,2.937834e+00,1.300000e+03,8.671394e-01,7.100039e-01,2.292130e+00,7.522338e+00,0.000000e+00,3.000000e+01,3.486041e-01,3.509493e-01,8.959371e+00,0.000000e+00,3.000000e+00,1.022769e+00
