x,y,BG,FC,FD,FH,GC,GD,GHc,SC,SD,SH,TC,GR,NC,GCp,GCa,GDp,GDa,FHs,FHf,TCa,FCs,GCv,GCb,HSC,StrD,TotalC
1.000000e+00,1.000000e+00,0.000000e+00,3.354664e-01,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.878669e-01,8.804861e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.204263e-02,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,3.295249e-01,0.000000e+00,0.000000e+00,3.314237e-01
1.000000e+00,1.000000e+01,1.544179e-01,6.000427e-01,1.000000e+00,0.000000e+00,5.417121e-01,5.579983e-01,1.000000e+00,1.000000e+00,4.032433e-01,6.060878e-01,2.156648e-01,1.000000e+00,0.000000e+00,1.000000e+00,8.864764e-01,4.066664e-01,6.669436e-01,0.000000e+00,9.755457e-01,5.622430e-01,0.000000e+00,8.379850e-01,0.000000e+00,2.551757e-01,0.000000e+00,6.781585e-01
1.000000e+00,1.000000e+02,1.000000e+00,1.431173e-01,3.386345e-01,0.000000e+00,4.613817e-01,5.771080e-01,1.000000e+00,4.191265e-01,3.304742e-01,4.343893e-01,1.000000e+00,8.159151e-01,4.103418e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,4.522868e-01,0.000000e+00,0.000000e+00,1.000000e+00,6.120337e-01,1.000000e+00,4.518495e-01
1.000000e+00,1.100000e+01,2.986440e-01,6.242800e-01,1.000000e+00,0.000000e+00,5.694046e-01,5.693666e-01,8.351756e-01,1.000000e+00,4.185672e-01,6.234856e-01,1.682576e-01,1.000000e+00,0.000000e+00,7.776473e-01,8.188359e-01,7.706406e-01,7.711693e-01,0.000000e+00,8.072075e-01,5.785348e-01,0.000000e+00,8.584448e-01,0.000000e+00,1.135263e-01,0.000000e+00,6.898911e-01
1.000000e+00,1.200000e+01,4.458325e-01,6.375229e-01,1.000000e+00,0.000000e+00,5.650932e-01,6.209197e-01,1.000000e+00,9.868543e-01,4.256041e-01,6.445549e-01,1.450852e-01,1.000000e+00,0.000000e+00,5.155218e-01,1.000000e+00,1.000000e+00,8.524158e-01,0.000000e+00,6.537635e-01,5.944282e-01,0.000000e+00,8.489184e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.820126e-01
1.000000e+00,1.300000e+01,5.940803e-01,6.389808e-01,1.000000e+00,0.000000e+00,5.430210e-01,7.051508e-01,1.000000e+00,9.563948e-01,4.264133e-01,6.736453e-01,1.445517e-01,1.000000e+00,0.000000e+00,2.846777e-01,9.963507e-01,1.000000e+00,9.102509e-01,0.000000e+00,5.230898e-01,6.103134e-01,0.000000e+00,8.118405e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.572119e-01
1.000000e+00,1.400000e+01,7.400386e-01,6.285514e-01,1.000000e+00,0.000000e+00,5.186827e-01,8.152233e-01,1.000000e+00,9.185125e-01,4.220847e-01,7.044553e-01,1.647493e-01,1.000000e+00,0.000000e+00,7.923105e-02,1.000000e+00,1.000000e+00,9.426227e-01,0.000000e+00,4.188299e-01,6.267063e-01,0.000000e+00,7.544481e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.243361e-01
1.000000e+00,1.500000e+01,8.793522e-01,6.066131e-01,1.000000e+00,0.000000e+00,4.970191e-01,8.899001e-01,1.000000e+00,8.723338e-01,4.137638e-01,7.332063e-01,2.032025e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,8.687058e-01,9.467503e-01,0.000000e+00,3.445598e-01,6.441592e-01,0.000000e+00,6.851585e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.863030e-01
1.000000e+00,1.600000e+01,1.000000e+00,5.738165e-01,1.000000e+00,0.000000e+00,4.686345e-01,1.000000e+00,1.000000e+00,8.174992e-01,4.026306e-01,7.576442e-01,2.565801e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,6.139972e-01,9.200131e-01,0.000000e+00,3.037466e-01,6.631713e-01,2.996620e-02,6.099223e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.421314e-01
1.000000e+00,1.700000e+01,1.000000e+00,5.308756e-01,1.000000e+00,0.000000e+00,4.311692e-01,1.000000e+00,1.000000e+00,7.543365e-01,3.898778e-01,7.766633e-01,3.222863e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,3.745763e-01,8.608418e-01,0.000000e+00,2.996232e-01,6.840989e-01,1.679731e-01,5.498184e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.966537e-01
1.000000e+00,1.800000e+01,1.000000e+00,4.783602e-01,1.000000e+00,0.000000e+00,3.871532e-01,1.000000e+00,1.000000e+00,6.840337e-01,3.766891e-01,7.899315e-01,3.990122e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.758785e-01,7.696076e-01,0.000000e+00,3.344170e-01,7.070663e-01,2.932431e-01,5.018295e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.502200e-01
